,step,run_id,accuracy_test,accuracy_train,loss_test,loss_train,mae_test,mae_train,optimizer_fn,n_layers,lr_scheduler,lr,model_name,cb_matrix,loss_fn,weight_decay,test_score
18,1,7d24a89b4bb9407da414f3d330baa124,0.4064009661835749,0.3842159916513641,18.702704148592005,19.457825691075254,1.1503623199923605,1.0822083766215316,SGD,32,True,5e-05,VGG,"tensor([[10.,  4.,  7., 10., 13.],
        [ 4., 10.,  4.,  7., 10.],
        [ 7.,  4., 10.,  4.,  7.],
        [10.,  7.,  4., 10.,  4.],
        [13., 10.,  7.,  4., 10.]], device='cuda:0')",CSCELoss(),0.0005,0
276,7,28789f96c44c4481b8e0fe2e24ae344e,0.6932367149758454,0.7222222222222222,9.987491555835891,8.398302726697741,0.3756038647342995,0.3300449982692973,SGD,32,True,0.0005,VGG,"tensor([[10.,  3.,  5.,  7.,  9.],
        [ 3., 10.,  3.,  5.,  7.],
        [ 5.,  3., 10.,  3.,  5.],
        [ 7.,  5.,  3., 10.,  3.],
        [ 9.,  7.,  5.,  3., 10.]], device='cuda:0')",CSCELoss(),0.0005,0
281,7,5308688dc65147a5803af71ae0931ad4,0.6926328502415459,0.7417791623399099,6.128823322950353,4.779094953960348,0.37077294685990336,0.2931810314987885,SGD,32,True,0.001,VGG,"tensor([[5., 3., 5., 7., 9.],
        [3., 5., 3., 5., 7.],
        [5., 3., 5., 3., 5.],
        [7., 5., 3., 5., 3.],
        [9., 7., 5., 3., 5.]], device='cuda:0')",CSCELoss(),0.0005,0
328,8,59468cd7c7fc4a758b10df3b143d577e,0.6841787439613527,0.7101073036065106,5.093367163109894,4.6566309796026655,0.394927536231884,0.35323641398923544,SGD,32,True,0.001,VGG,"tensor([[5., 2., 3., 4., 5.],
        [2., 5., 2., 3., 4.],
        [3., 2., 5., 2., 3.],
        [4., 3., 2., 5., 2.],
        [5., 4., 3., 2., 5.]], device='cuda:0')",CSCELoss(),0.0005,0
356,8,c931269fd52b4987972ec1d5f324cf29,0.6944444444444444,0.7397023191415715,9.467807692606092,7.684397643063876,0.3659420289855073,0.29698857736240913,SGD,32,True,0.001,VGG,"tensor([[10.,  3.,  5.,  7.,  9.],
        [ 3., 10.,  3.,  5.,  7.],
        [ 5.,  3., 10.,  3.,  5.],
        [ 7.,  5.,  3., 10.,  3.],
        [ 9.,  7.,  5.,  3., 10.]], device='cuda:0')",CSCELoss(),0.0005,0
370,9,3dc6b838a67942e1a2876f783e644c5a,0.6859903381642513,0.7429906542056075,3.6265365890258754,2.796814619298211,0.3592995169082125,0.28868120456905505,SGD,32,True,0.001,VGG,"tensor([[ 1.,  4.,  7., 10., 13.],
        [ 4.,  1.,  4.,  7., 10.],
        [ 7.,  4.,  1.,  4.,  7.],
        [10.,  7.,  4.,  1.,  4.],
        [13., 10.,  7.,  4.,  1.]], device='cuda:0')",CSCELoss(),0.0005,0
378,9,72c4b6e3286b4d17b71294e50e516f59,0.6811594208657453,0.7154724817863588,11.28101456683615,9.198797749994368,0.3943236715695708,0.3402561440357249,SGD,32,True,0.0005,VGG,"tensor([[10.,  4.,  7., 10., 13.],
        [ 4., 10.,  4.,  7., 10.],
        [ 7.,  4., 10.,  4.,  7.],
        [10.,  7.,  4., 10.,  4.],
        [13., 10.,  7.,  4., 10.]], device='cuda:0')",CSCELoss(),0.0005,0
412,10,2e68d07e41da4c328b8a70f4c2cea713,0.6859903381642513,0.7893734856351678,10.869172996944853,7.036012946630937,0.35446859903381644,0.2312218760816892,SGD,32,True,0.001,VGG,"tensor([[10.,  4.,  7., 10., 13.],
        [ 4., 10.,  4.,  7., 10.],
        [ 7.,  4., 10.,  4.,  7.],
        [10.,  7.,  4., 10.,  4.],
        [13., 10.,  7.,  4., 10.]], device='cuda:0')",CSCELoss(),0.0005,0
452,11,11be36ff97ca42cbb6a501b4c8cd81f8,0.691425121060892,0.7680858428109348,10.025077405183213,6.553636187952503,0.39371980679927815,0.2682589131496736,SGD,32,True,0.0005,VGG,"tensor([[10.,  2.,  3.,  4.,  5.],
        [ 2., 10.,  2.,  3.,  4.],
        [ 3.,  2., 10.,  2.,  3.],
        [ 4.,  3.,  2., 10.,  2.],
        [ 5.,  4.,  3.,  2., 10.]], device='cuda:0')",CSCELoss(),0.0005,0
454,11,142444f622154b3e938b35673c278a15,0.6841787445372429,0.7092419521707117,2.8997696949088057,2.5010646120327573,0.3913043478980732,0.33506403601408913,SGD,32,True,0.001,VGG,"tensor([[1., 3., 5., 7., 9.],
        [3., 1., 3., 5., 7.],
        [5., 3., 1., 3., 5.],
        [7., 5., 3., 1., 3.],
        [9., 7., 5., 3., 1.]], device='cuda:0')",CSCELoss(),0.0005,0
496,12,05ec03d618784016988d2c4b0d442277,0.6769323671497585,0.73918310838325,6.900028649159676,5.408696633137894,0.3973429951690821,0.30391138802869544,SGD,32,True,0.0005,VGG,"tensor([[ 5.,  4.,  7., 10., 13.],
        [ 4.,  5.,  4.,  7., 10.],
        [ 7.,  4.,  5.,  4.,  7.],
        [10.,  7.,  4.,  5.,  4.],
        [13., 10.,  7.,  4.,  5.]], device='cuda:0')",CSCELoss(),0.0005,0
514,12,7e18f02cb2944e05a7ec54255e643aac,0.6841787442492978,0.7957770855379749,10.3770499298538,6.389987757561651,0.3804347826446888,0.22758740048975465,SGD,32,True,0.001,VGG,"tensor([[10.,  3.,  5.,  7.,  9.],
        [ 3., 10.,  3.,  5.,  7.],
        [ 5.,  3., 10.,  3.,  5.],
        [ 7.,  5.,  3., 10.,  3.],
        [ 9.,  7.,  5.,  3., 10.]], device='cuda:0')",CSCELoss(),0.0005,0
516,12,829c255bbf4c4a39a922332a6885037f,0.6859903381642513,0.8487365870543441,12.621994914064086,5.357849154697441,0.3641304347826087,0.16372447213568708,SGD,32,True,0.0005,VGG,"tensor([[10.,  4.,  7., 10., 13.],
        [ 4., 10.,  4.,  7., 10.],
        [ 7.,  4., 10.,  4.,  7.],
        [10.,  7.,  4., 10.,  4.],
        [13., 10.,  7.,  4., 10.]], device='cuda:0')",CSCELoss(),0.0005,0
532,12,b894301b0b234734ba72889035110743,0.6817632853120997,0.7412599515815885,3.687785269557567,2.819164951601091,0.3756038648782721,0.2943925233696439,SGD,32,True,0.001,VGG,"tensor([[ 1.,  4.,  7., 10., 13.],
        [ 4.,  1.,  4.,  7., 10.],
        [ 7.,  4.,  1.,  4.,  7.],
        [10.,  7.,  4.,  1.,  4.],
        [13., 10.,  7.,  4.,  1.]], device='cuda:0')",CSCELoss(),0.0005,0
534,12,c0528aec337944dda52250c377efa646,0.6829710144927537,0.7869505019037729,3.2278282435043995,1.8609261391184744,0.3810386473429952,0.2327795084804431,SGD,32,True,0.001,VGG,"tensor([[1., 3., 5., 7., 9.],
        [3., 1., 3., 5., 7.],
        [5., 3., 1., 3., 5.],
        [7., 5., 3., 1., 3.],
        [9., 7., 5., 3., 1.]], device='cuda:0')",CSCELoss(),0.0005,0
535,12,c122185b4a03412c9ef89968e5833f14,0.6902173915922929,0.7902388369884406,11.775817958629071,6.8005459295420065,0.3834541063161864,0.23433714089467064,SGD,32,True,0.001,VGG,"tensor([[10.,  4.,  7., 10., 13.],
        [ 4., 10.,  4.,  7., 10.],
        [ 7.,  4., 10.,  4.,  7.],
        [10.,  7.,  4., 10.,  4.],
        [13., 10.,  7.,  4., 10.]], device='cuda:0')",CSCELoss(),0.0005,0
562,13,86e2af01ce5b4dea995c51872b58d83f,0.6932367149758454,0.8437175493250259,10.77752953796571,4.628114911337219,0.3677536231884058,0.17237798546209762,SGD,32,True,0.0005,VGG,"tensor([[10.,  2.,  3.,  4.,  5.],
        [ 2., 10.,  2.,  3.,  4.],
        [ 3.,  2., 10.,  2.,  3.],
        [ 4.,  3.,  2., 10.,  2.],
        [ 5.,  4.,  3.,  2., 10.]], device='cuda:0')",CSCELoss(),0.0005,0
569,13,a379a559981c4a7bb4b7bdb1e0a11821,0.6793478266628468,0.7940463828726927,11.304171698104932,6.48225994397299,0.3810386474149815,0.2324333679525445,SGD,32,True,0.0005,VGG,"tensor([[10.,  3.,  5.,  7.,  9.],
        [ 3., 10.,  3.,  5.,  7.],
        [ 5.,  3., 10.,  3.,  5.],
        [ 7.,  5.,  3., 10.,  3.],
        [ 9.,  7.,  5.,  3., 10.]], device='cuda:0')",CSCELoss(),0.0005,0
582,13,cde97745f3574daa8053c3b0eeaab2da,0.6769323677256487,0.7287988923090309,5.251664090271733,4.3430964222165604,0.3828502418338389,0.32260297684984746,SGD,32,True,0.0005,VGG,"tensor([[5., 2., 3., 4., 5.],
        [2., 5., 2., 3., 4.],
        [3., 2., 5., 2., 3.],
        [4., 3., 2., 5., 2.],
        [5., 4., 3., 2., 5.]], device='cuda:0')",CSCELoss(),0.0005,0
584,13,ec2796268ed742e28448060dbb29bb2f,0.6781400969063026,0.8078920042568443,9.855266481206037,5.616364904075562,0.38768115945628295,0.21287642783098834,SGD,32,True,0.001,VGG,"tensor([[10.,  2.,  3.,  4.,  5.],
        [ 2., 10.,  2.,  3.,  4.],
        [ 3.,  2., 10.,  2.,  3.],
        [ 4.,  3.,  2., 10.,  2.],
        [ 5.,  4.,  3.,  2., 10.]], device='cuda:0')",CSCELoss(),0.0005,0
588,14,1369bbcc4c8046178236d453a68acf25,0.6727053140096618,0.8385254413291796,7.578511961992237,3.5350917781996207,0.3828502415458937,0.17601246105919002,SGD,32,True,0.0005,VGG,"tensor([[ 5.,  4.,  7., 10., 13.],
        [ 4.,  5.,  4.,  7., 10.],
        [ 7.,  4.,  5.,  4.,  7.],
        [10.,  7.,  4.,  5.,  4.],
        [13., 10.,  7.,  4.,  5.]], device='cuda:0')",CSCELoss(),0.0005,0
612,14,a1597e01d6c44f31a876415231f5eedb,0.677536231884058,0.8791969539633091,7.260197855136245,2.14510922787428,0.3864734299516908,0.13205261336102458,SGD,32,True,0.001,VGG,"tensor([[5., 2., 3., 4., 5.],
        [2., 5., 2., 3., 4.],
        [3., 2., 5., 2., 3.],
        [4., 3., 2., 5., 2.],
        [5., 4., 3., 2., 5.]], device='cuda:0')",CSCELoss(),0.0005,0
619,14,b4cd434985f44b69bbbc73993482dfaf,0.6594202898550725,0.6754932502596054,10.506891057111217,9.980877018998179,0.44021739130434784,0.4105226722049152,SGD,32,True,5e-05,VGG,"tensor([[10.,  3.,  5.,  7.,  9.],
        [ 3., 10.,  3.,  5.,  7.],
        [ 5.,  3., 10.,  3.,  5.],
        [ 7.,  5.,  3., 10.,  3.],
        [ 9.,  7.,  5.,  3., 10.]], device='cuda:0')",CSCELoss(),0.0005,0
620,14,b4ef6aeb87a64911a3e21daa74ec07f0,0.6763285024154589,0.7194530979371393,2.1439544682341496,1.8327624982680035,0.39371980676328505,0.33021806855645713,SGD,32,True,0.001,VGG,"tensor([[1., 2., 3., 4., 5.],
        [2., 1., 2., 3., 4.],
        [3., 2., 1., 2., 3.],
        [4., 3., 2., 1., 2.],
        [5., 4., 3., 2., 1.]], device='cuda:0')",CSCELoss(),0.0005,0
642,15,588537195e774f639d467944174a7895,0.6733091787439613,0.7736240914842586,6.6013858375917875,4.184860174075753,0.3967391304347826,0.25752855659526663,SGD,32,True,0.0005,VGG,"tensor([[5., 3., 5., 7., 9.],
        [3., 5., 3., 5., 7.],
        [5., 3., 5., 3., 5.],
        [7., 5., 3., 5., 3.],
        [9., 7., 5., 3., 5.]], device='cuda:0')",CSCELoss(),0.0005,0
658,15,a1ae903bcf0e4db3a176784dbbc87667,0.6739130434782609,0.8354101765316718,6.032677917376809,2.7572500454426305,0.37318840579710144,0.18276220145379024,SGD,32,True,0.0005,VGG,"tensor([[5., 2., 3., 4., 5.],
        [2., 5., 2., 3., 4.],
        [3., 2., 5., 2., 3.],
        [4., 3., 2., 5., 2.],
        [5., 4., 3., 2., 5.]], device='cuda:0')",CSCELoss(),0.0005,0
